retailer_id,mobile_number,market_name,agent_name,supervisor_name
2777,7901791754,????? ????/???????? BM,,
2795,7705106480,????? ??????? CDA/ ???????? BM,,
2928,7702975071,????? ??? / ???????? BM,,
2828,7762244011,????? ??? ??????? CDA/ ???????? BM,,
2803,770267681,???? ????? ????? ??????/ ???????? BM,,
2896,7700416695,????? ????? / ???????? BM,,
2799,7771991370,????? ??? ???? CDA/ ???????? BM,,
2804,7717748957,??? ???? CDA/ ????????/??? ????? BM,,
2802,7702896718,????? ????? CDA /?????? BM,,
2800,7827156998,????? ?????? / ???????? BM,,
2806,7842154538,????? ???????? / ???????? BM,,
2791,7700499299,????? ?????? CDA/ ????????/???? ?????? BM,,
3345,7712226677,??? ??????? CDA/ ????????/???? ???? BM,,
2867,77866312776,??????? ???/ ???????? BM,,
2937,7902526411,????? ???? / ???????? BM,,
2843,7712227985,????? ???? / ????????,,
2869,7901264563,????? ?????? / ????????,,
2846,7834126561,????? ???? / ???????? BM,,
2772,7700811444,?????? ????? CDA / ???????? BM,,
2998,7703503781,????? ??? ?????? / ???????? BM,,
2775,7880433000,????? ?????? / ???????? BM,,
2887,7904957288,????? CDA / ???????? BM,,
2888,7901296572,????? ??? ????? / ???????? BM,,
2935,7727644542,????? ?? / ???????? BM,,
2886,7904735729,????? ??????? CDA /???? BM,,
2771,7716145751,????? ?????/ ???????? BM,,
2862,7815409209,??? ????? / ???????? BM,,
3020,7700070540,????? ?????? / ????? ???????? BM,,
2857,7809683582,???? ????? ?????? / ???????? BM,,
2841,7715217284,????? ?????? CDA/ ???????? BM,,
2834,7707175888,????? ????? CDA/ ???????? BM,,
2817,7715861915,????? ??????? CDA/ ???????? BM,,
2849,7802274536,????????? ???????,,
2904,7800667729,????? ??? ???? / ???????? BM,,
2924,7819979070,???? ?????? ?????? / ???????? BM,,
2864,7723635445,????? ???? ????/ ???????? BM,,
2866,7808054021,????? ????? ?????? CDA / ???????? BM,,
2906,7826696089,????? ??? / ???????? BM,,
2824,7901726516,????? ???? / ??????? BM,,
2916,7735530569,????? ????? / ??????? BM,,
2783,7864931247,????? ?????? / ???????? BM,,
2786,7711459526,????? ???? ??? / ???????? BM,,
2854,7735710911,????? ?????? / ?????? CDA BM,,
2877,7705078910,????? ?????? BM,,
2779,7747075115,??? ????????- ????? / ?????? CDA BM,,
2879,7716995507,????? ????/?????? CDA BM,,
2872,7708627187,?????/ ?????? BM,,
2875,7708816355,????/ ??????? ?????? # CDA BM,,
2870,7701109201,????? ???? / ??? ????? CDA BM,,
2938,7904358542,????? ??????? - ??? / ?????? ???? CDA BM,,
2837,7705802070,????? ??????,,
2881,7826454807,????? ???? / ????,,
2885,7843578776,???? ?????,,
3006,770875570,????? ?????? ??????,,
2993,7832769811,????? ??? ???? / ??????? CDA,,
3170,7858909080,????? ?? ?????,,
2790,7759430178,????? ??????? CDA/ ??????/???????? BM,,
2990,7704013968,????? ????? /????????CDA BM,,
2962,7715870449,????? ????????1 / ???????? BM,,
2973,7729165575,????? ?????? CDA / ???? ??????? BM,,
2965,7763724719,????? ???/ ?????? BM,,
2957,7704088200,????? ??? ?????? / ????????? BM,,
2955,7705923397,????? ????/????????? BM CDA,,
3013,7713391965,????? ??? 1 / ?????? CDA BM,,
2977,7713493241,??????? ????? / ?????? CDA BM,,
3001,7724604377,????? ???? ?????/???? ?????? CDA BM,,
3005,7881618180,??????? CDA - ?????? ??????? BM,,
3009,7716670917,????? ??? ????-??? ???/ ?????? cda BM,,
2999,7768421911,????? ??????? ?????/???? ?????? BM,,
2943,7765191119,????? ???????/???? ?????? BM,,
2946,7710128796,??? ???? / ?????? CDA BM,,
3017,7813526617,???? ??????? 1 / ???? ?????  CDA,,
3015,7864838157,????? ????? / ????????? CDA BM,,
2984,7712869869,????? ??? ???????? / ?????? CDA BM,,
2983,7773157178,??? ????? / ?????? BM,,
3016,7810572197,????? ??????? - ????? ???? ??????? - ????????? BM,,
2982,7708863397,????? ?????? - ???? ???? ???? / ?????? ? 60 CDA BM,,
3014,7905509910,????? ??? ???? / ?????? CDA BM,,
